teamstatspk,WIN%,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
0,0.808,112.7,42.7,89.4,47.8,11.5,31.7,36.3,15.8,20,79.1,10.2,35.9,46.1,26.5,13.3,8.6,4.3,4,19.3,19.3,7.8,2020-21
1,0.755,110.9,40.4,86.5,46.7,14.6,40.1,36.4,15.5,20.3,76.4,10.1,36.4,46.5,27.5,15.6,9.4,4.9,4.1,20.3,17.7,8.3,2020-21
2,0.673,112.7,42.7,93.4,45.7,11.1,32.7,33.9,16.2,22,73.7,13.6,35,48.6,25.1,13.3,10.1,6.4,6.4,19.1,19,4.1,2020-21
3,0.63,108.7,39.3,85.7,45.9,13.5,36.1,37.5,16.5,20.2,81.5,10.8,33.8,44.6,25.9,14.9,7.6,3.3,4.4,20.5,20,4.2,2020-21
4,0.623,111.6,41.6,87,47.8,11.2,30,37.2,17.2,21.2,81.4,8.9,34.1,43,24.5,13,7.2,4.6,5.2,18.8,17.8,1.7,2020-21
5,0.618,112.7,40.7,88.9,45.8,14.3,39.4,36.4,16.9,21.6,78.2,10.3,36.5,46.8,23.4,13.7,7.7,4.2,4.5,17.8,19.2,4,2020-21
6,0.611,106.5,39.5,85.1,46.4,11.8,33.7,35.1,15.7,20.9,75.1,10.4,34.9,45.3,25.5,14.9,7.2,4.3,4.5,17,19.2,4.4,2020-21
7,0.604,107.8,39.6,85.1,46.6,11,30.9,35.8,17.5,21.7,80.9,8.4,33.7,42.1,23.2,12.5,7.6,5.7,4.6,19.1,18.9,2.2,2020-21
8,0.604,113.6,40.6,85.9,47.3,14.6,40,36.4,17.8,22.9,77.8,10.1,35.7,45.8,22.2,14.3,7.1,4.8,4.2,18.8,20.1,6,2020-21
9,0.574,106.2,39.1,86.4,45.3,12.3,36.8,33.5,15.6,20.2,77,9.5,34.3,43.8,24,12.6,7.1,4.1,3.9,19.7,19.9,2.7,2020-21
10,0.549,108.2,40.1,91.1,44,12.4,34.9,35.5,15.6,20.7,75.7,13.2,31.8,45,22.2,12.8,9.2,4.9,5.1,19.8,18.9,1.3,2020-21
11,0.547,111.3,41.5,88.4,47,11.2,31.7,35.4,17,20.9,81.6,10.1,34.8,44.9,25.3,14,7,5.5,5.2,19.8,19.3,0.5,2020-21
12,0.547,109.3,40.8,86.5,47.2,12.8,36.3,35.4,14.7,18.7,78.7,8.9,34.4,43.3,27.1,13.9,7.3,3.8,4.9,19.3,19.2,1.8,2020-21
13,0.545,108.1,39.4,87.6,45,12.4,36.4,34,16.9,20.7,81.7,10.8,35.7,46.5,23.3,14.2,7.3,5.9,4.7,18.7,19.2,4.1,2020-21
14,0.528,112.4,40.8,91.3,44.6,14.3,41.3,34.7,16.5,21.6,76.5,12.1,33,45.1,24.8,14.6,8.8,5.8,5.2,21.7,20.7,1.7,2020-21
15,0.519,113.6,42.1,91.9,45.9,13.9,38.2,36.3,15.4,20.9,73.6,10.7,33.8,44.5,26.9,13.2,8.7,4.9,4.7,19.5,19.5,-0.6,2020-21
16,0.491,106.3,39.3,87.4,45,12.5,34.7,36,15.2,19.2,79,9,35.1,44.1,23.3,14.2,7.5,4.5,4.3,18.7,18.7,-1.1,2020-21
17,0.481,110.9,41.4,89.3,46.4,12,34.5,34.8,16.2,22.2,72.9,9.6,35.3,44.9,24.1,14.7,8.1,5.6,4,20.2,20,-1.3,2020-21
18,0.472,111.5,40.8,87.5,46.6,12.4,33.3,37.3,17.5,21.8,80.3,9.8,34.6,44.4,24.2,12.3,6.8,4.3,4.5,18.3,20.2,0.1,2020-21
19,0.462,106.9,39.8,86.1,46.3,10,30.9,32.4,17.2,22.2,77.6,9.2,35.2,44.3,23.9,13.2,6,5,4.3,18.7,20.2,-2.8,2020-21
20,0.453,104.4,37.4,85.7,43.6,13,36.6,35.5,16.5,22.2,74.7,11.1,34.7,45.8,21.4,13.6,6.9,4.9,4.7,19.7,19.5,-0.9,2020-21
21,0.396,105.8,38.5,87.4,44.1,10.8,32.7,32.9,17.9,22.7,79,11.6,33.7,45.3,24.7,14.3,7.6,4.1,5.1,19.5,20.2,-3.5,2020-21
22,0.389,107.8,39,86.9,44.9,13.5,38.1,35.5,16.4,21.5,76,10.1,33.6,43.7,22.7,13.9,7.6,4.7,4.5,20,19.7,-4.4,2020-21
23,0.37,111.5,43.3,93.1,46.6,11.1,31.5,35.4,13.7,18.6,73.8,11.2,34.4,45.6,27.9,12.7,7.7,5.2,5.3,17.9,18.3,0,2020-21
24,0.364,109.5,40.5,89.2,45.4,11.7,34.1,34.3,16.7,22.2,75.5,10.4,33.5,43.8,23.2,14,7.3,4.7,5.2,19.2,19,-5,2020-21
25,0.345,108.7,40.5,88.8,45.6,11.7,35.2,33.3,16,20.9,76.7,10.9,33.7,44.7,24.3,14.3,6.8,5.6,4.9,20.5,19.4,-2.1,2020-21
26,0.327,101,37.2,89.1,41.8,11.8,37.6,31.5,14.7,19.3,76.3,10.4,35.5,45.9,21.1,13.5,7.4,4.6,6.2,18.2,17.6,-6.4,2020-21
